date,value
2021-01-01,121.52358539877216
2021-01-02,123.06843367893435
2021-01-03,134.40148661619074
2021-01-04,130.39127014486687
2021-01-05,107.70487187758373
2021-01-06,105.98747595040348
2021-01-07,115.51667166723561
2021-01-08,121.56194116784086
2021-01-09,131.32394413857386
2021-01-10,129.51916067301758
2021-01-11,133.2152537557447
2021-01-12,124.47260772626412
2021-01-13,115.94502721522524
2021-01-14,123.62219514907193
2021-01-15,128.58036109111214
2021-01-16,130.2014128383484
2021-01-17,138.70745150400913
2021-01-18,127.09169040476853
2021-01-19,128.03139494308988
2021-01-20,118.40753267788227
2021-01-21,120.08990008599801
2021-01-22,125.85146905983247
2021-01-23,143.608113604235
2021-01-24,139.07196569783238
2021-01-25,132.70792291654757
2021-01-26,124.82364188960149
2021-01-27,124.24475185929796
2021-01-28,125.74752898233737
2021-01-29,134.2051111221672
2021-01-30,142.51326534608725
2021-01-31,153.39422066810147
2021-02-01,135.6356732576903
2021-02-02,126.81730654719506
2021-02-03,120.28379165545773
2021-02-04,129.7441158568452
2021-02-05,140.50390979064073
2021-02-06,142.47995073163335
2021-02-07,141.14790065163018
2021-02-08,136.17946881005793
2021-02-09,135.23629880461164
2021-02-10,130.64369957136756
2021-02-11,131.92400176123846
2021-02-12,134.0440383376975
2021-02-13,146.6908579813793
2021-02-14,148.37960767615078
2021-02-15,143.80926288895958
2021-02-16,138.72020029791074
2021-02-17,130.39024175814865
2021-02-18,134.9120948440027
2021-02-19,139.98259821075476
2021-02-20,149.2119525055639
2021-02-21,153.1514917324839
2021-02-22,137.59087135231513
2021-02-23,134.88689144982663
2021-02-24,129.00336588117509
2021-02-25,130.36630198606704
2021-02-26,140.2717916891888
2021-02-27,157.20294680115538
2021-02-28,147.58632528354818
2021-03-01,151.59649115117003
2021-03-02,129.90685183304274
2021-03-03,131.47375953528308
2021-03-04,136.12392532231047
2021-03-05,146.2841203408463
2021-03-06,154.94545259356676
2021-03-07,157.49842008664348
2021-03-08,146.58236383237838
2021-03-09,137.53459488666815
2021-03-10,138.91707070472359
2021-03-11,135.78610220636045
2021-03-12,138.36011566125842
2021-03-13,147.06112840348942
2021-03-14,150.22501886463849
2021-03-15,152.05440042300907
2021-03-16,141.75277488527917
2021-03-17,139.22528328745807
2021-03-18,135.70310108899542
2021-03-19,146.57877837956596
2021-03-20,156.8535726923918
2021-03-21,154.22387353525866
2021-03-22,152.75082932325546
2021-03-23,138.57917901596707
2021-03-24,134.7553463276316
2021-03-25,136.67783577950485
2021-03-26,140.503264841849
2021-03-27,156.8059238461643
2021-03-28,154.01794325855607
2021-03-29,151.07254601174773
2021-03-30,144.78431856503266
2021-03-31,139.24359816003084
2021-04-01,142.302238812498
2021-04-02,146.32721134372076
2021-04-03,152.54007490936465
2021-04-04,156.20015520598366
2021-04-05,142.7554530685069
2021-04-06,135.2753188045989
2021-04-07,130.47598906194455
2021-04-08,134.01589110665546
2021-04-09,148.79362250426448
2021-04-10,150.05263321734816
2021-04-11,154.579809012136
2021-04-12,157.50863508864578
2021-04-13,140.49851709657108
2021-04-14,140.4947179729139
2021-04-15,134.0005120524437
2021-04-16,145.3830011137118
2021-04-17,149.39447330304418
2021-04-18,154.2892993207337
2021-04-19,154.67735032931543
2021-04-20,133.05622424430874
2021-04-21,138.34213625690973
2021-04-22,139.17027483589578
2021-04-23,142.70279868312545
2021-04-24,146.12827646304282
2021-04-25,155.5099910186003
2021-04-26,146.9444100529675
2021-04-27,141.92375954891455
2021-04-28,135.298636428859
2021-04-29,144.96198608918817
2021-04-30,143.40074805836704
2021-05-01,147.11789877232457
2021-05-02,154.87575871672382
2021-05-03,149.47549828062782
2021-05-04,146.29396319976905
2021-05-05,138.056999310048
2021-05-06,137.3843633219295
2021-05-07,150.51624788725402
2021-05-08,144.84952409868902
2021-05-09,149.29479006562823
2021-05-10,142.21349750382794
2021-05-11,135.97702774521068
2021-05-12,125.3837594605748
2021-05-13,137.11972467024475
2021-05-14,140.39132812432902
2021-05-15,141.70130602934154
2021-05-16,145.63749613874285
2021-05-17,146.59620356063706
2021-05-18,140.25995933773672
2021-05-19,140.35567788936262
2021-05-20,146.58030123261784
2021-05-21,141.60430690491137
2021-05-22,142.10088862946935
2021-05-23,138.01246072827396
2021-05-24,144.28919697750396
2021-05-25,129.89198745966377
2021-05-26,126.14863125402016
2021-05-27,126.77060336082793
2021-05-28,136.6157945857175
2021-05-29,150.1340566343277
2021-05-30,147.1823037807598
2021-05-31,139.8513416771683
2021-06-01,126.44253160102508
2021-06-02,117.4870741491426
2021-06-03,125.00632426601076
2021-06-04,134.63006747806543
2021-06-05,151.196248794436
2021-06-06,144.5748555283595
2021-06-07,143.05938702603908
2021-06-08,126.60102848330448
2021-06-09,117.38879676521952
2021-06-10,120.04242245727143
2021-06-11,128.68090998939377
2021-06-12,150.38573401646295
2021-06-13,137.18287642073852
2021-06-14,139.68482392808116
2021-06-15,121.91074715248241
2021-06-16,125.28127750960094
2021-06-17,124.08551570095042
2021-06-18,128.80030572555367
2021-06-19,136.8005752942298
2021-06-20,135.26227352083956
2021-06-21,134.95539697059024
2021-06-22,121.37023989690495
2021-06-23,111.70313822577549
2021-06-24,112.96767564048474
2021-06-25,127.63275648502932
2021-06-26,142.07675897138103
2021-06-27,136.50455473671545
2021-06-28,129.2925782587166
2021-06-29,122.22825279069525
2021-06-30,121.5092550310652
2021-07-01,117.59735513814415
2021-07-02,121.85414653991916
2021-07-03,136.84848677002714
2021-07-04,134.98178313299553
2021-07-05,134.69650756257326
2021-07-06,118.84669556171464
2021-07-07,105.98863630921029
2021-07-08,106.79260583670656
2021-07-09,129.2984954449335
2021-07-10,137.07344800762976
2021-07-11,129.08237247010996
2021-07-12,122.24853717062086
2021-07-13,122.39015534035968
2021-07-14,103.7347119667728
2021-07-15,106.32615619098593
2021-07-16,121.43518969290716
2021-07-17,123.66598168795078
2021-07-18,127.14830982543896
2021-07-19,120.5521444135835
2021-07-20,113.98749480814912
2021-07-21,113.53670597866278
2021-07-22,108.4956015317761
2021-07-23,118.69552211647458
2021-07-24,112.66065899231455
2021-07-25,124.21892764497717
2021-07-26,114.45874012568576
2021-07-27,103.52886017285026
2021-07-28,99.45044259397102
2021-07-29,103.73339989650273
2021-07-30,117.43693556099653
2021-07-31,113.6822214607917
2021-08-01,122.04022354381596
2021-08-02,113.70127515729453
2021-08-03,105.45527210428205
2021-08-04,106.34997679580655
2021-08-05,105.6146313682535
2021-08-06,117.09027960139385
2021-08-07,117.11411964586303
2021-08-08,116.00717256828095
2021-08-09,112.63075601878194
